response,classifier,count
flee,male,600
flee,female,287
flee,russian,433
flee,ukrainian,454
flee,no_language,0
flee,primary,107
flee,secondary,165
flee,post_secondary,185
flee,bachelors,199
flee,masters_higher,231
flee,16_24,297
flee,25_34,231
flee,35_44,157
flee,45_54,93
flee,55_64,50
flee,65_up,59
flee,less_30000,384
flee,30000_60000,155
flee,60001_120000,106
flee,120001_240000,87
flee,over_240000,155
flee,no_income_response,0
stay,male,968
stay,female,431
stay,russian,472
stay,ukrainian,926
stay,no_language,1
stay,primary,99
stay,secondary,252
stay,post_secondary,309
stay,bachelors,306
stay,masters_higher,433
stay,16_24,391
stay,25_34,346
stay,35_44,248
stay,45_54,207
stay,55_64,114
stay,65_up,93
stay,less_30000,591
stay,30000_60000,269
stay,60001_120000,194
stay,120001_240000,139
stay,over_240000,206
stay,no_income_response,0
different,male,535
different,female,312
different,russian,393
different,ukrainian,453
different,no_language,1
different,primary,62
different,secondary,153
different,post_secondary,181
different,bachelors,152
different,masters_higher,299
different,16_24,274
different,25_34,167
different,35_44,156
different,45_54,89
different,55_64,76
different,65_up,85
different,less_30000,355
different,30000_60000,135
different,60001_120000,90
different,120001_240000,73
different,over_240000,193
different,no_income_response,1
